cuid,created_at,provider,model,temperature,input_tokens,output_tokens,prompt_uid,"P1. Use of stored data and biological samples for research requires approval by an appropriate governing body (e.g., research ethics board), regardless of whether the individual is identifiable.","P2. Regardless of privacy and oversight, it is most important to prevent discrimination (e.g., through insurance, social attitudes) that might result from research on collections of data and biological samples.","P3. Use of stored data and biological samples for research requires approval by an appropriate governing body (e.g., research ethics board), ONLY when the individual is identifiable.",P4. Use of stored data and biological samples for research requires authorization from individuals only when they are identifiable AND approval by an appropriate governing body (e.g. research ethics board) when they are not identifiable.,P5. Use of stored data and biological samples for research requires authorization from individuals ONLY when the individual is identifiable.,"P6. Regardless of privacy and oversight, it is most important to ensure benefits to society or the community (e.g., geographical, ethno-cultural) participating in a collection of data and biological samples.","P7. Every use of stored data and biological samples for research requires the authorization of individuals, even if the use does not identify the individual."
a547c3ae-9e2d-4200-8e0c-2fccf9d0bfa8,2025-08-18 14:12:22.413052+00:00,google,gemini-2.5-flash,0,4005,279,con,6,7,4,3,2,1,5
716533e8-fe4b-4611-ad8b-de9b9409e27f,2025-08-18 14:13:27.866632+00:00,google,gemini-2.5-flash,0,3997,274,con,1,4,7,3,6,5,2
5e3292d2-eb57-47d8-ae0d-50796f4976f8,2025-08-18 14:14:27.041875+00:00,google,gemini-2.5-flash,0,4005,278,con,5,1,7,4,2,6,3
754e5cfa-7510-401d-9dd5-1353b9101f2d,2025-08-18 14:16:14.085914+00:00,google,gemini-2.5-flash,0,3995,274,con,3,5,1,4,7,6,2
d6b40f41-2e0e-4e6c-ad95-bd0b2b9cfd89,2025-08-18 14:45:32.559970+00:00,google,gemini-2.5-flash,0,4017,274,csk,5,6,2,3,4,1,7
eaea5f7a-639f-41b0-ad01-8712d75961bc,2025-08-18 14:46:27.584671+00:00,google,gemini-2.5-flash,0,4013,271,csk,4,5,3,2,1,6,7
f957f9db-501c-4ec2-880a-834f93f045f5,2025-08-18 14:47:12.788972+00:00,google,gemini-2.5-flash,0,4013,272,csk,5,6,3,4,1,2,7
a872c4a8-f837-4319-9d2c-9e6d6eb493e3,2025-08-18 14:48:07.683415+00:00,google,gemini-2.5-flash,0,4013,269,csk,5,6,3,4,2,1,7
c18b29a8-149a-4f31-ac83-e954f8907c3d,2025-08-18 14:49:13.097199+00:00,google,gemini-2.5-flash,0,4013,268,csk,6,3,4,5,2,1,7
7f967827-3bea-48af-acbb-126e7cb62c36,2025-08-18 15:20:43.980345+00:00,google,gemini-2.5-flash,0,4000,279,ana,7,6,3,2,5,4,1
0e951312-4d31-4b8e-a8d6-0361a970c731,2025-08-18 15:21:45.412924+00:00,google,gemini-2.5-flash,0,4008,285,ana,4,7,6,2,5,3,1
0c19c2cd-5b7f-4f64-925d-ebc0e438c17c,2025-08-18 15:22:46.827943+00:00,google,gemini-2.5-flash,0,4010,284,ana,6,2,4,7,1,3,5
745e981e-1ca5-4138-9533-942372c0b523,2025-08-18 15:23:41.560189+00:00,google,gemini-2.5-flash,0,4012,287,ana,7,3,5,6,2,4,1
b054fa51-299d-4a8d-93c0-908cc20cb52b,2025-08-18 15:56:23.107808+00:00,google,gemini-2.5-flash,0,4010,284,eco,2,5,6,4,7,1,3
e99bd4a1-0e67-4b64-9745-7c215f14145c,2025-08-18 15:57:15.149898+00:00,google,gemini-2.5-flash,0,4016,288,eco,1,6,4,3,5,7,2
e098bf9e-e30b-4fe9-9574-4989e7c3ec88,2025-08-18 15:59:54.036744+00:00,google,gemini-2.5-flash,0,4016,288,eco,3,1,6,5,4,7,2
56f48f2c-9a8f-4445-ae04-ea66f3d53e7d,2025-08-18 16:28:33.220348+00:00,google,gemini-2.5-flash,0,4005,280,fas,2,7,3,4,5,1,6
96449851-2f1c-453c-8099-f8b9ee71579d,2025-08-18 16:29:14.763244+00:00,google,gemini-2.5-flash,0,3999,279,fas,2,6,5,3,4,1,7
181bbeb6-5a49-462c-b167-2810cbc92f6e,2025-08-18 16:29:54.201045+00:00,google,gemini-2.5-flash,0,3999,278,fas,2,6,5,4,1,3,7
1cfc2b3e-97e9-4bbf-95e7-cf90b2955301,2025-08-18 16:30:48.499204+00:00,google,gemini-2.5-flash,0,4007,283,fas,2,6,3,4,5,1,7
fd5c3a13-0431-4d47-81fd-9b77c8f1f3d7,2025-08-18 16:31:36.678313+00:00,google,gemini-2.5-flash,0,3999,278,fas,2,6,4,5,3,1,7
c43b39d6-fe78-462a-9236-1b34abf3a56b,2025-08-18 17:06:07.995914+00:00,google,gemini-2.5-flash,0,4011,290,fem,2,7,4,3,5,6,1
8a62462f-fe87-47e2-9276-00ce9b6075de,2025-08-18 17:07:49.640483+00:00,google,gemini-2.5-flash,0,4009,288,fem,3,5,6,4,1,7,2
4d8368fb-0aed-4dbe-b9fa-8f71cbe01d8b,2025-08-18 17:08:31.815946+00:00,google,gemini-2.5-flash,0,4007,292,fem,5,3,2,4,7,6,1
71766824-598f-4332-a129-9d0822e029a6,2025-08-18 17:09:20.292176+00:00,google,gemini-2.5-flash,0,4009,290,fem,2,6,5,3,1,7,4
