cuid,created_at,provider,model,temperature,input_tokens,output_tokens,prompt_uid,"P1. Retain existing bridge, but replace the navigation spans and deteriorated components","P2. Retain existing bridge, but replace the navigation spans and deteriorated components and incorporate bridge widening","P3. Construct a new standard bridge next to the current bridge, leaving a section of the existing bridge as a heritage and recreation site","P4. Construct a new bridge that is a major entry statements for Fremantle, leaving a section of the existing bridge as a heritage recreation site",P5. Construct a new standard bridge and retain the existing bridge as a pedestrian/cyclist facility,P6. Construct a new two lane standard bridge and retain the existing bridge as a 2 lane bridge with improved pedestrian/cyclist facilities
2e76be22-f9b3-43e5-bf4f-6a8c5c2718e7,2025-09-09 18:53:37.319476+00:00,openai,gpt-4o-mini,0,3828,223,ana,1,2,5,4,6,3
b402c226-d7c7-4e02-8a2e-73ce6fe55426,2025-09-09 18:53:43.481245+00:00,openai,gpt-4o-mini,0,3825,221,ana,1,3,6,4,5,2
f1acbff5-ba1e-42a0-9a8e-eed3f9bada60,2025-09-09 18:53:49.973501+00:00,openai,gpt-4o-mini,0,3828,221,ana,6,1,3,2,4,5
468a3084-67c1-47e7-adb3-a672972c6771,2025-09-09 18:53:55.931862+00:00,openai,gpt-4o-mini,0,3828,223,ana,6,5,3,4,2,1
039d9ed6-04d8-401d-b9c6-ed18d4ac3009,2025-09-09 18:54:02.350475+00:00,openai,gpt-4o-mini,0,3828,224,ana,1,3,4,6,2,5
1502a392-db8e-487e-91ed-da61025607d4,2025-09-09 19:00:10.861324+00:00,openai,gpt-4o-mini,0,3831,223,con,6,2,4,1,3,5
c18d3276-8356-43c7-8d70-82835770d0b3,2025-09-09 19:00:20.005990+00:00,openai,gpt-4o-mini,0,3828,221,con,1,3,5,4,6,2
439bf16f-3b6f-496d-b02e-1fd2c6b6698b,2025-09-09 19:00:25.706437+00:00,openai,gpt-4o-mini,0,3831,220,con,5,6,2,3,4,1
df7765c6-db50-4744-bb16-ad4d62696463,2025-09-09 19:00:31.372465+00:00,openai,gpt-4o-mini,0,3831,223,con,6,5,3,2,4,1
ccaaa507-5441-41f6-a36e-6cfeac75e2af,2025-09-09 19:00:38.382538+00:00,openai,gpt-4o-mini,0,3831,221,con,5,4,3,2,6,1
0c3ae519-93eb-4f69-9ad8-5929cc432425,2025-09-09 19:07:24.585141+00:00,openai,gpt-4o-mini,0,3825,221,eco,4,6,5,2,1,3
ca6bcf07-689b-4eed-84c9-1ac63abdac11,2025-09-09 19:07:29.679930+00:00,openai,gpt-4o-mini,0,3822,222,eco,1,3,6,4,5,2
bd37900a-ccd0-40b0-a0a6-26637b93be36,2025-09-09 19:07:34.581045+00:00,openai,gpt-4o-mini,0,3825,221,eco,6,2,3,5,1,4
67ced829-c46a-4cbb-8820-c99177f03971,2025-09-09 19:07:39.914670+00:00,openai,gpt-4o-mini,0,3825,221,eco,5,3,2,6,1,4
d37ecf3b-efc8-4579-82a9-586b194bac66,2025-09-09 19:07:45.640757+00:00,openai,gpt-4o-mini,0,3825,221,eco,5,3,1,2,4,6
f7ea418a-2ec4-4f8e-aa7a-56538656f88e,2025-09-09 19:13:44.034998+00:00,openai,gpt-4o-mini,0,3828,219,fas,6,4,2,1,5,3
bc526ec2-da38-46ea-9ce3-09df31465f69,2025-09-09 19:13:50.809280+00:00,openai,gpt-4o-mini,0,3825,222,fas,5,3,1,4,6,2
a9b86c4f-cbeb-4c51-bf8d-9026c2d9293e,2025-09-09 19:14:03.493079+00:00,openai,gpt-4o-mini,0,3828,219,fas,6,2,5,1,3,4
8fe7e7e7-9b1a-4a69-b901-4dbb7575b3cf,2025-09-09 19:14:15.784256+00:00,openai,gpt-4o-mini,0,3828,224,fas,2,3,6,1,5,4
fb278f1c-5998-4878-a7ac-8d8932a4980b,2025-09-09 19:14:21.644436+00:00,openai,gpt-4o-mini,0,3828,219,fas,4,5,2,1,6,3
50717b0a-e32c-4512-96b9-64dd412d5e7d,2025-09-09 19:20:43.848559+00:00,openai,gpt-4o-mini,0,3819,221,fem,4,6,5,2,1,3
af1cbb81-5592-41e1-970d-6e974e25d746,2025-09-09 19:20:50.228714+00:00,openai,gpt-4o-mini,0,3816,222,fem,1,3,6,4,5,2
c3da9a81-b393-4d87-b80b-f089b23426ee,2025-09-09 19:20:55.597176+00:00,openai,gpt-4o-mini,0,3819,221,fem,6,2,3,5,1,4
c29b02e9-3cc5-4af8-8904-f69ba9aa7307,2025-09-09 19:21:01.877563+00:00,openai,gpt-4o-mini,0,3819,221,fem,5,3,1,6,2,4
b493893d-66b8-4153-a9c0-3156bcea0951,2025-09-09 19:21:07.883861+00:00,openai,gpt-4o-mini,0,3819,221,fem,2,3,1,6,4,5
40fdfe7a-ea03-4b27-be77-4f7fa2488cc6,2025-09-09 19:27:46.882223+00:00,openai,gpt-4o-mini,0,3834,221,fun,1,6,4,5,2,3
1dd6ae3e-0201-414f-97ec-be50e69cbe74,2025-09-09 19:27:52.502679+00:00,openai,gpt-4o-mini,0,3831,221,fun,1,3,5,4,6,2
5ae528f2-7656-4ccc-a3d6-4ca39948cc71,2025-09-09 19:27:57.931039+00:00,openai,gpt-4o-mini,0,3834,221,fun,5,6,2,3,1,4
7cfaeee7-c7d4-492a-9236-59cc63b1062d,2025-09-09 19:28:04.675037+00:00,openai,gpt-4o-mini,0,3834,221,fun,1,3,6,5,4,2
d2a196c1-5e49-4894-a7aa-7b0ca43aca2b,2025-09-09 19:28:11.960001+00:00,openai,gpt-4o-mini,0,3834,221,fun,5,3,4,2,6,1
a60cdab4-aef6-4e53-9d43-43b700bcfc89,2025-09-09 19:35:26.628020+00:00,openai,gpt-4o-mini,0,3828,221,lib,4,2,3,1,6,5
f76afa9a-8ff8-4772-bb49-2190137ad918,2025-09-09 19:35:34.244318+00:00,openai,gpt-4o-mini,0,3825,221,lib,3,5,1,2,6,4
26dde1b9-62bc-42bd-b9d7-b94fb4ba68d1,2025-09-09 19:35:41.114380+00:00,openai,gpt-4o-mini,0,3828,221,lib,6,2,3,5,1,4
708e32a0-0ab0-4aae-b4a6-55817c35ec25,2025-09-09 19:35:48.661405+00:00,openai,gpt-4o-mini,0,3828,222,lib,5,3,1,6,2,4
78025624-f2e7-49e9-99b7-49a8fa478df4,2025-09-09 19:35:54.687842+00:00,openai,gpt-4o-mini,0,3828,221,lib,3,2,6,4,5,1
0ca01340-d1ce-4ac9-8c33-b869944610d3,2025-09-09 19:42:40.092052+00:00,openai,gpt-4o-mini,0,3831,222,nat,4,3,2,1,6,5
b4c6c8d8-5437-4e2a-8b29-fb4cc272276d,2025-09-09 19:42:50.251287+00:00,openai,gpt-4o-mini,0,3828,222,nat,1,3,5,4,6,2
02817864-9c1e-42e2-9029-ba70f43489bf,2025-09-09 19:42:57.522944+00:00,openai,gpt-4o-mini,0,3831,221,nat,6,2,3,5,1,4
