cuid,created_at,provider,model,temperature,input_tokens,output_tokens,prompt_uid,"P1. Use of stored data and biological samples for research requires approval by an appropriate governing body (e.g., research ethics board), regardless of whether the individual is identifiable.","P2. Regardless of privacy and oversight, it is most important to prevent discrimination (e.g., through insurance, social attitudes) that might result from research on collections of data and biological samples.","P3. Use of stored data and biological samples for research requires approval by an appropriate governing body (e.g., research ethics board), ONLY when the individual is identifiable.",P4. Use of stored data and biological samples for research requires authorization from individuals only when they are identifiable AND approval by an appropriate governing body (e.g. research ethics board) when they are not identifiable.,P5. Use of stored data and biological samples for research requires authorization from individuals ONLY when the individual is identifiable.,"P6. Regardless of privacy and oversight, it is most important to ensure benefits to society or the community (e.g., geographical, ethno-cultural) participating in a collection of data and biological samples.","P7. Every use of stored data and biological samples for research requires the authorization of individuals, even if the use does not identify the individual."
19473079-367a-45a2-ab72-781e62a962cc,2025-09-17 13:07:46.139420+00:00,anthropic,claude-3-haiku-20240307,0,4048,239,ana,5,1,6,7,4,3,2
b871605b-86f3-40d3-b988-17643b50208e,2025-09-17 13:07:49.962178+00:00,anthropic,claude-3-haiku-20240307,0,4069,260,ana,2,6,7,3,5,4,1
343fdb8e-6864-4727-9588-25be2f1b222a,2025-09-17 13:07:54.182210+00:00,anthropic,claude-3-haiku-20240307,0,4048,239,ana,1,6,2,4,5,3,7
493a9746-13a4-4969-ae00-833b23fed3f5,2025-09-17 13:07:58.089798+00:00,anthropic,claude-3-haiku-20240307,0,4069,259,ana,2,3,7,1,4,5,6
4cff521d-88b8-423f-b26d-3ca2c672c039,2025-09-17 13:08:02.272298+00:00,anthropic,claude-3-haiku-20240307,0,4069,260,ana,6,2,5,4,1,7,3
13e2c1b5-444f-4199-bb04-d5db0e51f787,2025-09-17 13:11:33.734394+00:00,anthropic,claude-3-haiku-20240307,0,4042,237,con,5,7,1,4,2,3,6
a51cc2ef-124a-40d9-94d0-0e780e5c127d,2025-09-17 13:11:37.629740+00:00,anthropic,claude-3-haiku-20240307,0,4042,232,con,2,6,5,4,7,1,3
3d658570-2854-478e-83cc-a7dc57ad2e8a,2025-09-17 13:11:41.413340+00:00,anthropic,claude-3-haiku-20240307,0,4042,237,con,2,6,4,1,5,3,7
1acb5ebb-e1b4-4add-8466-ee4d6258e3c1,2025-09-17 13:11:45.315891+00:00,anthropic,claude-3-haiku-20240307,0,4063,253,con,1,3,4,2,6,5,7
8e717f1e-4a24-48e3-9167-6845f602bc50,2025-09-17 13:11:49.627378+00:00,anthropic,claude-3-haiku-20240307,0,4042,233,con,4,2,3,1,5,7,6
286ebd22-4d25-41c1-853e-04b03a80920e,2025-09-17 13:15:13.050992+00:00,anthropic,claude-3-haiku-20240307,0,4039,236,eco,1,7,4,5,6,3,2
20e3df7a-c35a-468e-8bfb-9fc5c296acca,2025-09-17 13:15:17.568565+00:00,anthropic,claude-3-haiku-20240307,0,4060,256,eco,2,6,7,4,5,1,3
7adfaa37-76b8-41ea-8901-61729a9fd36f,2025-09-17 13:15:21.544791+00:00,anthropic,claude-3-haiku-20240307,0,4060,261,eco,1,6,4,2,5,3,7
4c49b3b1-bf44-4c8b-b91a-aee07522a529,2025-09-17 13:15:25.711985+00:00,anthropic,claude-3-haiku-20240307,0,4060,254,eco,1,3,6,5,7,4,2
45543b66-d831-4285-a043-07e8751d3ed3,2025-09-17 13:15:29.736551+00:00,anthropic,claude-3-haiku-20240307,0,4039,239,eco,1,2,5,3,4,7,6
3a886181-bf6c-4143-94a4-d15c152676c2,2025-09-17 13:18:53.204167+00:00,anthropic,claude-3-haiku-20240307,0,4045,237,fas,5,7,4,1,6,3,2
604ca68e-3b28-4b76-9066-6b525f245f07,2025-09-17 13:18:59.154413+00:00,anthropic,claude-3-haiku-20240307,0,4066,256,fas,3,6,1,4,7,2,5
8e018d1c-05cb-4506-903f-90760c31d3eb,2025-09-17 13:19:03.152573+00:00,anthropic,claude-3-haiku-20240307,0,4066,256,fas,1,3,6,4,5,2,7
98271517-4362-484f-98fb-e8ab2be17dd4,2025-09-17 13:19:07.159549+00:00,anthropic,claude-3-haiku-20240307,0,4066,256,fas,1,7,5,4,3,2,6
3dac9b05-e892-4395-ab5d-7a310cf71491,2025-09-17 13:23:29.204213+00:00,anthropic,claude-3-haiku-20240307,0,4051,255,fem,1,7,6,2,4,3,5
d186ec3e-719a-44e7-8f30-34cc6c4c7246,2025-09-17 13:23:33.787915+00:00,anthropic,claude-3-haiku-20240307,0,4051,257,fem,2,6,7,4,5,1,3
206f4956-8207-43f9-aa82-c4cab198d3dc,2025-09-17 13:23:38.101579+00:00,anthropic,claude-3-haiku-20240307,0,4030,236,fem,1,6,4,2,5,3,7
950f5c7e-f55a-4e81-934f-d2588ffee16a,2025-09-17 13:23:42.078894+00:00,anthropic,claude-3-haiku-20240307,0,4051,258,fem,1,3,6,5,7,4,2
8c653819-fc3f-4aee-855c-5240e3ea42f9,2025-09-17 13:23:45.992365+00:00,anthropic,claude-3-haiku-20240307,0,4030,235,fem,1,2,5,3,4,7,6
4ebdb46c-5ba8-4cbe-be85-5cec1c390a8b,2025-09-17 13:28:02.212323+00:00,anthropic,claude-3-haiku-20240307,0,4042,235,fun,5,1,6,7,4,3,2
97f51902-3ea6-450d-8a4f-8ecac71dbe73,2025-09-17 13:28:08.039755+00:00,anthropic,claude-3-haiku-20240307,0,4042,239,fun,2,6,5,7,1,4,3
dc711c42-42d4-4ef9-9b44-fc9d7a17f50a,2025-09-17 13:28:11.920744+00:00,anthropic,claude-3-haiku-20240307,0,4063,257,fun,1,6,7,4,5,3,2
6bdd6910-470b-4720-a4fd-aa82bb16e058,2025-09-17 13:28:15.970734+00:00,anthropic,claude-3-haiku-20240307,0,4063,268,fun,1,3,6,4,5,2,7
e177da99-9aaa-4a38-8c55-4722a2ba50d2,2025-09-17 13:28:20.511590+00:00,anthropic,claude-3-haiku-20240307,0,4042,236,fun,6,2,5,4,1,7,3
