cuid,created_at,provider,model,temperature,input_tokens,output_tokens,prompt_uid,P1. Management that favors aggressive reduction of hazardous fuels,P2. Management that favors thinning treatments to realize economic gain.,"P3. Management that favors treatments to restore structure, function and composition of the forest to presettlement conditions, and allowing the introduction of fire as a natural disturbance.",P4. No fire or fuels management. Leaving the forests as they stand without active management.,P5. Management that favors local-based harvesting for fuel and timber needs.,P6. Management that favors the protection of wildlife and wildlife habitat.,"P7. Management that prioritizes the location and level of treatments favoring both ecological and social values (i.e. wildlife, watersheds, community protection, special cultural places)."
e0a8123b-f043-45f2-9bf2-c4c85d94d112,2025-08-18 14:08:12.496857+00:00,google,gemini-2.5-flash,0,5017,334,con,1,3,6,7,2,5,4
54dedf48-f830-4237-8c75-969adc3ce34d,2025-08-18 14:08:59.809620+00:00,google,gemini-2.5-flash,0,5019,333,con,1,2,5,7,3,6,4
0c3ad4d4-4d61-433e-8501-ad0a95d2f58e,2025-08-18 14:09:52.820484+00:00,google,gemini-2.5-flash,0,5023,338,con,3,4,6,7,2,5,1
b60ab80d-b233-43eb-85df-6a8dc03b2439,2025-08-18 14:10:44.390188+00:00,google,gemini-2.5-flash,0,5015,333,con,1,3,6,7,2,5,4
9cae4d57-3c84-49f3-aab3-432cd18f445e,2025-08-18 14:11:34.048118+00:00,google,gemini-2.5-flash,0,5015,335,con,1,3,6,7,2,5,4
14b5ac8a-b51b-4ab9-9370-49061fbc1d5b,2025-08-18 14:41:42.936948+00:00,google,gemini-2.5-flash,0,5027,328,csk,2,1,5,7,3,6,4
c9444471-8341-43d9-a0e0-6343e228b650,2025-08-18 14:42:39.268414+00:00,google,gemini-2.5-flash,0,5031,325,csk,3,2,6,7,1,5,4
73846a6e-a392-40b2-8aa8-03459d21b164,2025-08-18 14:43:17.866521+00:00,google,gemini-2.5-flash,0,5029,324,csk,1,2,6,7,3,4,5
e60d008b-73bb-47e6-ba36-d45d17a10af2,2025-08-18 14:44:00.940763+00:00,google,gemini-2.5-flash,0,5027,328,csk,1,2,6,7,3,5,4
b2ae22b2-0d8c-4566-88ed-ab8a19bf5069,2025-08-18 14:44:50.742717+00:00,google,gemini-2.5-flash,0,5029,328,csk,3,1,6,7,2,5,4
b95378bb-4c93-4111-9f26-938d4187666d,2025-08-18 15:16:21.974984+00:00,google,gemini-2.5-flash,0,5002,331,ana,5,7,2,6,3,4,1
7b0a7774-bf46-4192-8324-f1953a678f05,2025-08-18 15:17:19.036833+00:00,google,gemini-2.5-flash,0,5004,333,ana,5,6,4,7,2,3,1
f75ecac0-46b9-403b-b447-91c49dbd066f,2025-08-18 15:18:03.457890+00:00,google,gemini-2.5-flash,0,5010,332,ana,5,7,3,6,2,4,1
0c1b9373-49d1-4db2-8510-9470f77e5ede,2025-08-18 15:18:51.894287+00:00,google,gemini-2.5-flash,0,5006,333,ana,5,6,4,7,2,3,1
a0039f1e-5cb6-4fd7-8f7b-29b3536e5dcc,2025-08-18 15:19:45.128588+00:00,google,gemini-2.5-flash,0,5006,332,ana,6,7,4,5,1,3,2
6cf9a664-9ad1-468b-b4cc-45a98559b38f,2025-08-18 15:52:42.476241+00:00,google,gemini-2.5-flash,0,5016,332,eco,5,7,1,6,4,2,3
a6d8d37b-db12-422b-9ef7-0b316f9e6eac,2025-08-18 15:53:29.724297+00:00,google,gemini-2.5-flash,0,5016,333,eco,4,6,2,7,5,3,1
f6dc39c4-cd84-4e75-a68c-2b3f80b699e3,2025-08-18 15:54:56.220779+00:00,google,gemini-2.5-flash,0,5016,333,eco,4,6,2,7,5,3,1
f3b5e783-32a1-41f1-abd1-e5dccef8ade8,2025-08-18 15:55:37.619646+00:00,google,gemini-2.5-flash,0,5012,332,eco,5,6,2,7,4,3,1
47c74c09-a75d-49f4-85fd-64e1d0fb3c25,2025-08-18 16:24:28.619558+00:00,google,gemini-2.5-flash,0,5003,329,fas,2,1,5,7,3,6,4
ea2c2999-5564-4590-9568-70f2afe277a4,2025-08-18 16:25:15.379733+00:00,google,gemini-2.5-flash,0,5011,335,fas,3,2,4,7,1,5,6
e2badaf2-325b-4bd8-a5c8-3cd774363539,2025-08-18 16:26:08.658181+00:00,google,gemini-2.5-flash,0,4999,326,fas,1,2,4,3,7,5,6
76be70ed-e2c2-47dd-b51a-a6c68b7ac068,2025-08-18 16:26:55.364732+00:00,google,gemini-2.5-flash,0,5007,332,fas,1,2,5,7,3,6,4
b427d84f-06fb-4317-a1b1-3ec31d24c4fa,2025-08-18 16:27:51.391633+00:00,google,gemini-2.5-flash,0,5009,332,fas,1,2,6,7,3,5,4
7e8b982b-f7f2-4d6e-99ca-54d3ba2be137,2025-08-18 17:02:00.305833+00:00,google,gemini-2.5-flash,0,5009,338,fem,5,7,3,6,2,4,1
c9bde099-c0f6-4c41-a03d-12b4019c190f,2025-08-18 17:02:54.437811+00:00,google,gemini-2.5-flash,0,5007,334,fem,5,6,4,7,2,3,1
e761a583-b9a9-469a-9743-6ae9c1fbfefc,2025-08-18 17:03:48.705885+00:00,google,gemini-2.5-flash,0,5011,335,fem,5,6,4,7,2,3,1
540f8a29-3da8-43a3-94fd-bbc716b4e41f,2025-08-18 17:04:37.165190+00:00,google,gemini-2.5-flash,0,5011,339,fem,5,6,4,7,2,3,1
7542f3b9-a139-42d3-b54d-773a91410388,2025-08-18 17:05:27.217396+00:00,google,gemini-2.5-flash,0,5007,337,fem,4,6,5,7,2,3,1
230d5d65-11f6-4442-80e3-56f657aa06ca,2025-08-18 17:37:17.577104+00:00,google,gemini-2.5-flash,0,5030,340,fun,2,6,1,7,3,5,4
026233e0-f4f0-4136-a583-1b9bf5ff9fb8,2025-08-18 17:38:03.887904+00:00,google,gemini-2.5-flash,0,5024,339,fun,2,1,5,4,3,6,7
db288ae5-ac5a-4eb1-a78e-17b5856a0328,2025-08-18 17:38:49.946087+00:00,google,gemini-2.5-flash,0,5026,337,fun,1,3,5,7,2,6,4
3e23c30b-5bc4-4b71-9bb4-a5a28b0944ac,2025-08-18 17:39:40.971074+00:00,google,gemini-2.5-flash,0,5020,335,fun,1,4,6,7,3,5,2
956fd803-ac31-4e5b-bfba-7d932424f21e,2025-08-18 17:40:33.941399+00:00,google,gemini-2.5-flash,0,5018,338,fun,1,2,6,7,3,5,4
532ae48b-5ab6-4149-9663-5a968963e7a3,2025-08-18 18:14:05.816939+00:00,google,gemini-2.5-flash,0,5011,330,lib,4,3,5,7,1,6,2
e486b150-4de3-4486-9c19-2f6b75f01c86,2025-08-18 18:15:11.395099+00:00,google,gemini-2.5-flash,0,5019,336,lib,2,6,4,7,5,3,1
1a5d8685-640e-4b36-b4d7-3ef14e96bd13,2025-08-18 18:15:57.923721+00:00,google,gemini-2.5-flash,0,5009,329,lib,4,6,2,7,3,5,1
d84bbf5d-9437-43d5-bd95-43b585060c77,2025-08-18 18:16:46.024770+00:00,google,gemini-2.5-flash,0,5017,334,lib,4,6,3,7,5,2,1
5d102ebd-ce54-4e27-84fe-277a1e25ced8,2025-08-18 18:17:25.371168+00:00,google,gemini-2.5-flash,0,5003,327,lib,5,6,4,7,3,2,1
118fb6c6-6cbd-4f97-97a0-b43745075994,2025-08-18 18:49:40.354195+00:00,google,gemini-2.5-flash,0,5007,328,nat,3,1,5,7,2,6,4
