cuid,created_at,provider,model,temperature,input_tokens,output_tokens,prompt_uid,reason
8169d09b-89a8-4742-9572-d75c84d6683b,2025-09-09 18:52:43.611180+00:00,openai,gpt-4o-mini,0,4634,272,ana,I prioritize ecological values and local stewardship over economic gain and aggressive management.
7cbb8ef0-1f3c-40dd-90ac-78c95ab017de,2025-09-09 18:52:51.157867+00:00,openai,gpt-4o-mini,0,4634,271,ana,I prioritize ecological and community values over economic gain and aggressive management.
13c05403-f477-4175-8050-57405a8fda0c,2025-09-09 18:52:59.017885+00:00,openai,gpt-4o-mini,0,4634,272,ana,I prioritize ecological values and local needs over aggressive management and economic gain.
d044a0d9-ce07-482b-b792-35700ae14d5e,2025-09-09 18:53:07.271085+00:00,openai,gpt-4o-mini,0,4632,271,ana,I prioritize ecological and community values over aggressive management and economic gain.
72ed4552-e7ed-4db0-9bfc-2f40da05105b,2025-09-09 18:53:14.953754+00:00,openai,gpt-4o-mini,0,4634,272,ana,I prioritize ecological restoration and community values over economic gain and aggressive management.
775a2a65-80a0-4adb-9a0e-1e16e0844481,2025-09-09 18:59:20.271096+00:00,openai,gpt-4o-mini,0,4637,273,con,I prioritize active management for safety and economic gain while valuing ecological balance.
b964d5c1-5652-4e03-ae11-750718c08128,2025-09-09 18:59:27.467185+00:00,openai,gpt-4o-mini,0,4637,275,con,I prioritize local harvesting and economic gain while opposing no management and presettlement restoration.
80714e8c-6037-46ba-91dc-e61e14542196,2025-09-09 18:59:33.615086+00:00,openai,gpt-4o-mini,0,4637,273,con,I prioritize active management for safety and economic gain while valuing ecological balance.
e8e6f1ac-402b-42af-b9a8-a227a0e825fa,2025-09-09 18:59:40.985031+00:00,openai,gpt-4o-mini,0,4635,271,con,I prioritize economic gain and local management while opposing extreme ecological changes.
a9781787-7a1f-4dbb-9856-a6b152d7f09c,2025-09-09 18:59:49.999281+00:00,openai,gpt-4o-mini,0,4637,274,con,I prioritize economic gain and local harvesting while valuing ecological balance and community needs.
5c1b7236-9779-4fd4-9a61-26f8b39f7ebc,2025-09-09 19:06:21.587290+00:00,openai,gpt-4o-mini,0,4631,271,eco,I prioritize ecological and community values over aggressive management and economic gain.
23562b4b-36de-40bd-8e87-e96bd8788033,2025-09-09 19:06:29.290710+00:00,openai,gpt-4o-mini,0,4631,276,eco,"I prioritize ecological and social values, followed by local needs, while opposing aggressive fuel reduction."
a349848f-9699-4928-a0cb-7f5ab994dd97,2025-09-09 19:06:37.091901+00:00,openai,gpt-4o-mini,0,4631,272,eco,I prioritize ecological balance and community values over aggressive or purely economic management.
52401eaa-087e-45e3-b534-3b57ba7f5457,2025-09-09 19:06:44.873240+00:00,openai,gpt-4o-mini,0,4629,274,eco,I prioritize ecological balance and community values over aggressive management and presettlement goals.
bd55212d-96e9-412a-9327-6521d2876fb2,2025-09-09 19:06:54.270827+00:00,openai,gpt-4o-mini,0,4631,272,eco,I prioritize ecological restoration and community values over economic gain and aggressive management.
62a3a3a3-cb03-4113-850e-1b9919c0c9fa,2025-09-09 19:12:48.710012+00:00,openai,gpt-4o-mini,0,4634,272,fas,I prioritize aggressive fuel reduction and economic gain over ecological and social considerations.
eccdbe87-1d4a-4721-b747-95fab01e403f,2025-09-09 19:12:55.553501+00:00,openai,gpt-4o-mini,0,4634,272,fas,I prioritize aggressive fuel reduction and economic gain over ecological and social considerations.
