model,survey,role_uid,temperature,n
gemini-2.5-flash,ccps,eco,0,0
gemini-2.5-flash,ccps,eco,-1,5
gemini-2.5-flash,ccps,coa,0,0
gemini-2.5-flash,ccps,coa,-1,5
gemini-2.5-flash,ccps,ctr,0,0
gemini-2.5-flash,ccps,ctr,-1,5
gemini-2.5-flash,ccps,dis,0,0
gemini-2.5-flash,ccps,dis,-1,5
gemini-2.5-flash,ccps,eld,0,0
gemini-2.5-flash,ccps,eld,-1,5
gemini-2.5-flash,ccps,far,0,0
gemini-2.5-flash,ccps,far,-1,5
gemini-2.5-flash,ccps,fis,0,0
gemini-2.5-flash,ccps,fis,-1,5
gemini-2.5-flash,ccps,lan,0,0
gemini-2.5-flash,ccps,lan,-1,5
gemini-2.5-flash,ccps,par,0,0
gemini-2.5-flash,ccps,par,-1,5
gemini-2.5-flash,ccps,sub,0,0
gemini-2.5-flash,ccps,sub,-1,5
gemini-2.5-flash,ccps,vil,0,0
gemini-2.5-flash,ccps,vil,-1,5
gemini-2.5-flash,ccps,csk,0,0
gemini-2.5-flash,ccps,csk,-1,5
gemini-2.5-flash,energy_futures,eco,0,0
gemini-2.5-flash,energy_futures,eco,-1,0
gemini-2.5-flash,energy_futures,coa,0,0
gemini-2.5-flash,energy_futures,coa,-1,0
gemini-2.5-flash,energy_futures,ctr,0,0
gemini-2.5-flash,energy_futures,ctr,-1,0
gemini-2.5-flash,energy_futures,dis,0,0
gemini-2.5-flash,energy_futures,dis,-1,0
gemini-2.5-flash,energy_futures,eld,0,0
gemini-2.5-flash,energy_futures,eld,-1,0
gemini-2.5-flash,energy_futures,far,0,0
gemini-2.5-flash,energy_futures,far,-1,0
gemini-2.5-flash,energy_futures,fis,0,0
gemini-2.5-flash,energy_futures,fis,-1,0
gemini-2.5-flash,energy_futures,lan,0,0
gemini-2.5-flash,energy_futures,lan,-1,0
gemini-2.5-flash,energy_futures,par,0,0
gemini-2.5-flash,energy_futures,par,-1,0
gemini-2.5-flash,energy_futures,sub,0,0
gemini-2.5-flash,energy_futures,sub,-1,0
gemini-2.5-flash,energy_futures,vil,0,0
gemini-2.5-flash,energy_futures,vil,-1,0
gemini-2.5-flash,energy_futures,csk,0,0
gemini-2.5-flash,energy_futures,csk,-1,0
gemini-2.5-flash,zh_winterthur,eco,0,0
gemini-2.5-flash,zh_winterthur,eco,-1,0
gemini-2.5-flash,zh_winterthur,coa,0,0
gemini-2.5-flash,zh_winterthur,coa,-1,0
gemini-2.5-flash,zh_winterthur,ctr,0,0
gemini-2.5-flash,zh_winterthur,ctr,-1,0
gemini-2.5-flash,zh_winterthur,dis,0,0
gemini-2.5-flash,zh_winterthur,dis,-1,0
gemini-2.5-flash,zh_winterthur,eld,0,0
gemini-2.5-flash,zh_winterthur,eld,-1,0
gemini-2.5-flash,zh_winterthur,far,0,0
gemini-2.5-flash,zh_winterthur,far,-1,0
gemini-2.5-flash,zh_winterthur,fis,0,0
gemini-2.5-flash,zh_winterthur,fis,-1,0
gemini-2.5-flash,zh_winterthur,lan,0,0
gemini-2.5-flash,zh_winterthur,lan,-1,0
gemini-2.5-flash,zh_winterthur,par,0,0
gemini-2.5-flash,zh_winterthur,par,-1,0
gemini-2.5-flash,zh_winterthur,sub,0,0
gemini-2.5-flash,zh_winterthur,sub,-1,0
gemini-2.5-flash,zh_winterthur,vil,0,0
gemini-2.5-flash,zh_winterthur,vil,-1,0
gemini-2.5-flash,zh_winterthur,csk,0,0
gemini-2.5-flash,zh_winterthur,csk,-1,0
gemini-3-pro-preview,ccps,eco,0,5
gemini-3-pro-preview,ccps,eco,-1,5
gemini-3-pro-preview,ccps,coa,0,5
gemini-3-pro-preview,ccps,coa,-1,5
gemini-3-pro-preview,ccps,ctr,0,5
gemini-3-pro-preview,ccps,ctr,-1,5
gemini-3-pro-preview,ccps,dis,0,5
gemini-3-pro-preview,ccps,dis,-1,5
gemini-3-pro-preview,ccps,eld,0,5
gemini-3-pro-preview,ccps,eld,-1,5
gemini-3-pro-preview,ccps,far,0,5
gemini-3-pro-preview,ccps,far,-1,5
gemini-3-pro-preview,ccps,fis,0,5
gemini-3-pro-preview,ccps,fis,-1,5
gemini-3-pro-preview,ccps,lan,0,5
gemini-3-pro-preview,ccps,lan,-1,5
gemini-3-pro-preview,ccps,par,0,5
gemini-3-pro-preview,ccps,par,-1,5
gemini-3-pro-preview,ccps,sub,0,5
gemini-3-pro-preview,ccps,sub,-1,5
gemini-3-pro-preview,ccps,vil,0,5
gemini-3-pro-preview,ccps,vil,-1,5
gemini-3-pro-preview,ccps,csk,0,5
gemini-3-pro-preview,ccps,csk,-1,5
gemini-3-pro-preview,energy_futures,eco,0,0
gemini-3-pro-preview,energy_futures,eco,-1,5
gemini-3-pro-preview,energy_futures,coa,0,0
gemini-3-pro-preview,energy_futures,coa,-1,5
gemini-3-pro-preview,energy_futures,ctr,0,0
gemini-3-pro-preview,energy_futures,ctr,-1,5
gemini-3-pro-preview,energy_futures,dis,0,0
gemini-3-pro-preview,energy_futures,dis,-1,5
gemini-3-pro-preview,energy_futures,eld,0,0
gemini-3-pro-preview,energy_futures,eld,-1,5
gemini-3-pro-preview,energy_futures,far,0,0
gemini-3-pro-preview,energy_futures,far,-1,5
gemini-3-pro-preview,energy_futures,fis,0,0
gemini-3-pro-preview,energy_futures,fis,-1,5
gemini-3-pro-preview,energy_futures,lan,0,0
gemini-3-pro-preview,energy_futures,lan,-1,5
gemini-3-pro-preview,energy_futures,par,0,0
gemini-3-pro-preview,energy_futures,par,-1,5
gemini-3-pro-preview,energy_futures,sub,0,0
gemini-3-pro-preview,energy_futures,sub,-1,5
gemini-3-pro-preview,energy_futures,vil,0,0
gemini-3-pro-preview,energy_futures,vil,-1,5
gemini-3-pro-preview,energy_futures,csk,0,0
gemini-3-pro-preview,energy_futures,csk,-1,5
gemini-3-pro-preview,zh_winterthur,eco,0,0
gemini-3-pro-preview,zh_winterthur,eco,-1,5
gemini-3-pro-preview,zh_winterthur,coa,0,0
gemini-3-pro-preview,zh_winterthur,coa,-1,5
gemini-3-pro-preview,zh_winterthur,ctr,0,0
gemini-3-pro-preview,zh_winterthur,ctr,-1,5
gemini-3-pro-preview,zh_winterthur,dis,0,0
gemini-3-pro-preview,zh_winterthur,dis,-1,5
gemini-3-pro-preview,zh_winterthur,eld,0,0
gemini-3-pro-preview,zh_winterthur,eld,-1,5
gemini-3-pro-preview,zh_winterthur,far,0,0
gemini-3-pro-preview,zh_winterthur,far,-1,5
gemini-3-pro-preview,zh_winterthur,fis,0,0
gemini-3-pro-preview,zh_winterthur,fis,-1,5
gemini-3-pro-preview,zh_winterthur,lan,0,0
gemini-3-pro-preview,zh_winterthur,lan,-1,5
gemini-3-pro-preview,zh_winterthur,par,0,0
gemini-3-pro-preview,zh_winterthur,par,-1,5
gemini-3-pro-preview,zh_winterthur,sub,0,0
gemini-3-pro-preview,zh_winterthur,sub,-1,5
gemini-3-pro-preview,zh_winterthur,vil,0,0
gemini-3-pro-preview,zh_winterthur,vil,-1,5
gemini-3-pro-preview,zh_winterthur,csk,0,0
gemini-3-pro-preview,zh_winterthur,csk,-1,5
claude-3.7-sonnet:thinking,ccps,eco,0,0
claude-3.7-sonnet:thinking,ccps,eco,-1,5
claude-3.7-sonnet:thinking,ccps,coa,0,0
claude-3.7-sonnet:thinking,ccps,coa,-1,5
claude-3.7-sonnet:thinking,ccps,ctr,0,0
claude-3.7-sonnet:thinking,ccps,ctr,-1,5
claude-3.7-sonnet:thinking,ccps,dis,0,0
claude-3.7-sonnet:thinking,ccps,dis,-1,5
claude-3.7-sonnet:thinking,ccps,eld,0,0
claude-3.7-sonnet:thinking,ccps,eld,-1,5
claude-3.7-sonnet:thinking,ccps,far,0,0
claude-3.7-sonnet:thinking,ccps,far,-1,5
claude-3.7-sonnet:thinking,ccps,fis,0,0
claude-3.7-sonnet:thinking,ccps,fis,-1,5
claude-3.7-sonnet:thinking,ccps,lan,0,0
claude-3.7-sonnet:thinking,ccps,lan,-1,5
claude-3.7-sonnet:thinking,ccps,par,0,0
claude-3.7-sonnet:thinking,ccps,par,-1,5
claude-3.7-sonnet:thinking,ccps,sub,0,0
claude-3.7-sonnet:thinking,ccps,sub,-1,5
claude-3.7-sonnet:thinking,ccps,vil,0,0
claude-3.7-sonnet:thinking,ccps,vil,-1,0
claude-3.7-sonnet:thinking,ccps,csk,0,0
claude-3.7-sonnet:thinking,ccps,csk,-1,0
claude-3.7-sonnet:thinking,energy_futures,eco,0,0
claude-3.7-sonnet:thinking,energy_futures,eco,-1,0
claude-3.7-sonnet:thinking,energy_futures,coa,0,0
claude-3.7-sonnet:thinking,energy_futures,coa,-1,0
claude-3.7-sonnet:thinking,energy_futures,ctr,0,0
claude-3.7-sonnet:thinking,energy_futures,ctr,-1,0
claude-3.7-sonnet:thinking,energy_futures,dis,0,0
claude-3.7-sonnet:thinking,energy_futures,dis,-1,0
claude-3.7-sonnet:thinking,energy_futures,eld,0,0
claude-3.7-sonnet:thinking,energy_futures,eld,-1,0
claude-3.7-sonnet:thinking,energy_futures,far,0,0
claude-3.7-sonnet:thinking,energy_futures,far,-1,0
claude-3.7-sonnet:thinking,energy_futures,fis,0,0
claude-3.7-sonnet:thinking,energy_futures,fis,-1,0
claude-3.7-sonnet:thinking,energy_futures,lan,0,0
claude-3.7-sonnet:thinking,energy_futures,lan,-1,0
claude-3.7-sonnet:thinking,energy_futures,par,0,0
claude-3.7-sonnet:thinking,energy_futures,par,-1,0
claude-3.7-sonnet:thinking,energy_futures,sub,0,0
claude-3.7-sonnet:thinking,energy_futures,sub,-1,0
claude-3.7-sonnet:thinking,energy_futures,vil,0,0
claude-3.7-sonnet:thinking,energy_futures,vil,-1,0
claude-3.7-sonnet:thinking,energy_futures,csk,0,0
claude-3.7-sonnet:thinking,energy_futures,csk,-1,0
claude-3.7-sonnet:thinking,zh_winterthur,eco,0,0
claude-3.7-sonnet:thinking,zh_winterthur,eco,-1,0
claude-3.7-sonnet:thinking,zh_winterthur,coa,0,0
claude-3.7-sonnet:thinking,zh_winterthur,coa,-1,0
claude-3.7-sonnet:thinking,zh_winterthur,ctr,0,0
claude-3.7-sonnet:thinking,zh_winterthur,ctr,-1,0
claude-3.7-sonnet:thinking,zh_winterthur,dis,0,0
claude-3.7-sonnet:thinking,zh_winterthur,dis,-1,0
claude-3.7-sonnet:thinking,zh_winterthur,eld,0,0
claude-3.7-sonnet:thinking,zh_winterthur,eld,-1,0
claude-3.7-sonnet:thinking,zh_winterthur,far,0,0
claude-3.7-sonnet:thinking,zh_winterthur,far,-1,0
claude-3.7-sonnet:thinking,zh_winterthur,fis,0,0
claude-3.7-sonnet:thinking,zh_winterthur,fis,-1,0
