cuid,created_at,provider,model,temperature,input_tokens,output_tokens,prompt_uid,P1. Wind,P2. Biomass,P3. Coal with CO2 Burial,P4. Hydroelectric,P5. Natural Gas,P6. Geothermal Energy,P7. Solar Energy,P8. Nuclear Energy,P9. Coal
472ec97a-10ac-4996-8a88-4850b6c86d24,2025-08-14 14:02:00.005992+00:00,anthropic,claude-3-5-sonnet-20241022,0,5064,296,fas,8,7,2,4,3,6,9,5,1
ab4556ee-6c07-4187-aafa-d56b41efdb18,2025-08-14 14:02:11.240181+00:00,anthropic,claude-3-5-sonnet-20241022,0,5064,295,fas,7,6,3,5,4,9,8,1,2
c40ad1ba-da44-43d1-af98-dd883d9ecee2,2025-08-14 14:02:34.284134+00:00,anthropic,claude-3-5-sonnet-20241022,0,5064,298,fas,9,8,3,5,4,6,7,1,2
c05286cc-4b7d-4871-b23d-c20715f12567,2025-08-14 14:02:49.414838+00:00,anthropic,claude-3-5-sonnet-20241022,0,5064,296,fas,8,7,2,3,4,5,6,1,9
20049d24-50ac-4e32-beb7-f91dd9524333,2025-08-14 14:03:00.907070+00:00,anthropic,claude-3-5-sonnet-20241022,0,5064,299,fas,8,7,3,4,5,6,9,1,2
decaa517-1ea9-4907-92d7-08ca369c7dea,2025-08-14 14:10:47.270235+00:00,anthropic,claude-3-5-sonnet-20241022,0,5049,296,fem,1,4,7,3,6,5,2,8,9
18382b8b-0902-4597-9dd6-69b0d1d54cca,2025-08-14 14:10:55.630553+00:00,anthropic,claude-3-5-sonnet-20241022,0,5049,298,fem,1,4,6,3,5,8,2,7,9
32ecccad-fc66-475e-b430-144878e5fe21,2025-08-14 14:11:19.064325+00:00,anthropic,claude-3-5-sonnet-20241022,0,5049,298,fem,2,4,3,5,7,8,1,6,9
ca354e13-c917-4dd8-aa74-c1fcdc3bb79e,2025-08-14 14:11:30.961187+00:00,anthropic,claude-3-5-sonnet-20241022,0,5049,299,fem,5,3,8,2,4,7,1,6,9
054476c4-e753-4180-a4d6-b16be78ce012,2025-08-14 14:20:38.422850+00:00,anthropic,claude-3-5-sonnet-20241022,0,5067,298,ana,2,4,8,5,6,3,1,7,9
6454b737-362a-40fe-ac00-e601c33d5f59,2025-08-14 14:20:49.141089+00:00,anthropic,claude-3-5-sonnet-20241022,0,5067,296,ana,1,3,8,4,7,5,2,9,6
16a7ddef-7dbf-45bd-a328-743e83674eea,2025-08-14 14:21:00.821277+00:00,anthropic,claude-3-5-sonnet-20241022,0,5067,297,ana,1,3,7,4,6,5,2,8,9
28b90f41-e1d7-4ff4-b71d-e2065109bec3,2025-08-14 14:21:11.679709+00:00,anthropic,claude-3-5-sonnet-20241022,0,5067,301,ana,5,4,9,6,7,2,1,8,3
43387e20-bc45-4bd1-b53c-5bb3be358fe9,2025-08-14 14:21:22.018002+00:00,anthropic,claude-3-5-sonnet-20241022,0,5067,296,ana,1,4,7,2,6,3,5,8,9
18e03901-6c11-45b1-844e-52117cb78973,2025-08-14 14:28:38.482447+00:00,anthropic,claude-3-5-sonnet-20241022,0,5061,295,con,7,6,2,3,4,9,8,5,1
739c85c4-9813-4715-849c-8dfddf2fef38,2025-08-14 14:28:50.739357+00:00,anthropic,claude-3-5-sonnet-20241022,0,5061,295,con,7,5,2,4,3,9,6,1,8
41d50dcf-f3d0-475b-bc7c-87fd58b9a10f,2025-08-14 14:29:00.471667+00:00,anthropic,claude-3-5-sonnet-20241022,0,5061,295,con,8,6,2,5,4,9,7,1,3
bdcb341a-30be-4409-86f5-b44bfdd71937,2025-08-14 14:29:10.403334+00:00,anthropic,claude-3-5-sonnet-20241022,0,5061,296,con,7,6,1,4,3,9,8,2,5
4e4cb68e-78c1-4f84-8bf0-3bbcad7d4d43,2025-08-14 14:29:23.916923+00:00,anthropic,claude-3-5-sonnet-20241022,0,5061,294,con,7,6,2,4,3,8,9,1,5
6a235cb4-40db-4d10-9377-3385ff583be7,2025-08-14 15:46:28.856310+00:00,anthropic,claude-3-5-sonnet-20241022,0,5058,299,eco,1,4,7,3,6,5,2,8,9
fb624798-0c6d-4109-883d-0ec4f8ebea4a,2025-08-14 15:46:39.573626+00:00,anthropic,claude-3-5-sonnet-20241022,0,5058,300,eco,1,4,6,3,5,8,2,7,9
2fadd622-bf96-43dd-9089-d03d329c3a47,2025-08-14 15:46:48.221578+00:00,anthropic,claude-3-5-sonnet-20241022,0,5058,297,eco,4,2,3,5,7,8,1,6,9
9b812fb2-dcf6-4d38-b302-7da9da546dc3,2025-08-14 15:46:56.496544+00:00,anthropic,claude-3-5-sonnet-20241022,0,5058,296,eco,5,4,8,2,6,3,1,7,9
9a279edd-003f-47dc-a2ce-5e99f9f20db8,2025-08-14 15:52:56.429803+00:00,anthropic,claude-3-5-sonnet-20241022,0,5061,300,fun,8,7,2,4,3,6,9,5,1
1ac86161-6822-43ca-aa5b-c18ae7d70b20,2025-08-14 15:53:06.442575+00:00,anthropic,claude-3-5-sonnet-20241022,0,5061,302,fun,7,8,3,5,4,9,6,2,1
