cuid,created_at,provider,model,temperature,input_tokens,output_tokens,prompt_uid,P1. Leave the policy settings as they are.,P2. Policies that emphasise economic growth over climate change adaptation or mitigation.,P3. Policies that involve a dramatic cut back in CO2 emissions (by 50% in the next 10 years).,P4. Policies that involve a moderate cut in CO2 emissions (by 25% in over the next 10 years).,"P5. Adaptation policies and expenditure (e.g. coastal protection, water desalinisation, improving infrastructure etc). Planning controls and emergency response programs.","P6. Adaptation policies that target individual, small business or community-based actions (eg support the installation of alternative energy generators, insulation, water use efficiency)",P7. Preparing for climate risk through the development of new approaches and technologies that enhance resilience to the impacts of climate variability or change. 
3b460418-bdce-4646-a118-599bdf63c043,2025-09-17 13:04:47.992998+00:00,anthropic,claude-3-haiku-20240307,0,3581,214,ana,4,7,3,2,6,1,5
7bdfa90e-f873-4454-8f52-2e87652903ce,2025-09-17 13:04:51.607401+00:00,anthropic,claude-3-haiku-20240307,0,3383,115,ana,7,4,1,2,5,6,3
ac2907d7-98f5-4839-a821-22264fd70dbe,2025-09-17 13:04:54.569438+00:00,anthropic,claude-3-haiku-20240307,0,3581,214,ana,3,6,1,5,2,4,7
4ef4f61f-22e5-4596-b8ce-31621895d3df,2025-09-17 13:09:17.284562+00:00,anthropic,claude-3-haiku-20240307,0,3575,210,con,5,7,4,2,1,3,6
b97812c9-5b72-45f5-8601-d3e89d0739fd,2025-09-17 13:09:20.933811+00:00,anthropic,claude-3-haiku-20240307,0,3575,209,con,4,6,5,3,2,1,7
f48b153b-e104-45ec-930a-56751dbc2c8d,2025-09-17 13:09:24.470912+00:00,anthropic,claude-3-haiku-20240307,0,3575,209,con,4,3,7,5,1,2,6
6bf23890-04e8-458f-81b2-5adec389860e,2025-09-17 13:09:28.092117+00:00,anthropic,claude-3-haiku-20240307,0,3596,228,con,4,5,7,3,1,6,2
556c147b-cf3f-44b0-8db0-c8a9241af147,2025-09-17 13:09:31.815899+00:00,anthropic,claude-3-haiku-20240307,0,3575,209,con,7,6,5,1,2,4,3
ee36b2bf-f77c-41fb-a1cb-6b9896053ed7,2025-09-17 13:12:53.652442+00:00,anthropic,claude-3-haiku-20240307,0,3572,211,eco,5,7,2,1,6,3,4
c7b2dee9-20ff-4e5a-8745-11d73781fec6,2025-09-17 13:12:57.743153+00:00,anthropic,claude-3-haiku-20240307,0,3572,210,eco,5,6,2,1,7,4,3
