cuid,created_at,provider,model,temperature,input_tokens,output_tokens,prompt_uid,P1. Leave the policy settings as they are.,P2. Policies that emphasise economic growth over climate change adaptation or mitigation.,P3. Policies that involve a dramatic cut back in CO2 emissions (by 50% in the next 10 years).,P4. Policies that involve a moderate cut in CO2 emissions (by 25% in over the next 10 years).,"P5. Adaptation policies and expenditure (e.g. coastal protection, water desalinisation, improving infrastructure etc). Planning controls and emergency response programs.","P6. Adaptation policies that target individual, small business or community-based actions (eg support the installation of alternative energy generators, insulation, water use efficiency)",P7. Preparing for climate risk through the development of new approaches and technologies that enhance resilience to the impacts of climate variability or change. 
2d2e4bd6-3b4d-477d-bc92-3954d2ea3f0e,2025-08-14 12:52:50.885429+00:00,anthropic,claude-3-7-sonnet-20250219,0,3623,224,csk,5,1,7,6,4,3,2
2be7ebed-f493-472b-b8cb-ce0bc372de6b,2025-08-14 12:53:19.436088+00:00,anthropic,claude-3-7-sonnet-20250219,0,3623,225,csk,2,1,7,6,4,5,3
8d78af7c-bc6f-4387-b8ac-b6f8c626078e,2025-08-14 12:53:27.397938+00:00,anthropic,claude-3-7-sonnet-20250219,0,3623,227,csk,2,1,6,5,3,7,4
da436810-fa99-4864-9f2f-bfc4b11ad3ad,2025-08-14 12:53:35.299905+00:00,anthropic,claude-3-7-sonnet-20250219,0,3623,225,csk,2,1,7,6,5,4,3
6e935afd-af3c-4939-a328-e35484153af4,2025-08-14 12:53:45.211876+00:00,anthropic,claude-3-7-sonnet-20250219,0,3623,228,csk,2,1,7,6,4,5,3
a08e4140-7211-4bb8-af58-f5578dea1cc0,2025-08-14 13:03:09.660574+00:00,anthropic,claude-3-7-sonnet-20250219,0,3593,227,eco,6,7,1,5,4,3,2
826b69af-6d8f-4fa0-ba5c-855115546e18,2025-08-14 13:03:20.039479+00:00,anthropic,claude-3-7-sonnet-20250219,0,3593,227,eco,7,6,1,5,3,2,4
c308e9ad-b905-4339-bcfe-c765b6a0ed51,2025-08-14 13:03:29.327560+00:00,anthropic,claude-3-7-sonnet-20250219,0,3593,223,eco,7,6,1,4,3,2,5
3ee13b13-fef5-480b-b43a-69acc11b24ea,2025-08-14 13:03:37.752761+00:00,anthropic,claude-3-7-sonnet-20250219,0,3593,224,eco,7,6,1,5,3,2,4
87905adb-9112-4537-81db-2fa3c8c4c437,2025-08-14 13:03:47.293727+00:00,anthropic,claude-3-7-sonnet-20250219,0,3593,225,eco,6,7,1,5,3,2,4
bae249f8-e468-41bc-bc6e-81ecb56dd3f3,2025-08-14 13:14:08.465973+00:00,anthropic,claude-3-7-sonnet-20250219,0,3596,224,con,6,2,7,5,4,1,3
9c98d1f8-bb00-4d6c-bd48-9cfa086c5178,2025-08-14 13:14:16.241507+00:00,anthropic,claude-3-7-sonnet-20250219,0,3596,223,con,3,4,6,5,7,1,2
b49b788c-245c-42e4-bddd-9f32cd5da4ab,2025-08-14 13:14:28.343801+00:00,anthropic,claude-3-7-sonnet-20250219,0,3596,226,con,3,6,7,5,2,1,4
0c8d9747-15ab-463c-a679-276653a8228c,2025-08-14 13:14:38.045705+00:00,anthropic,claude-3-7-sonnet-20250219,0,3596,224,con,4,7,6,3,5,2,1
41a0d588-4fea-458b-85c9-ace9f1580bb9,2025-08-14 13:14:45.902802+00:00,anthropic,claude-3-7-sonnet-20250219,0,3596,224,con,4,3,6,7,1,2,5
9e966a1a-61a3-4c66-ae36-20d2154fd322,2025-08-14 13:21:43.208839+00:00,anthropic,claude-3-7-sonnet-20250219,0,3590,227,nat,7,3,6,5,4,1,2
08be662e-cf03-4d50-8361-7da5baf7951d,2025-08-14 13:21:53.643449+00:00,anthropic,claude-3-7-sonnet-20250219,0,3590,224,nat,4,1,6,5,7,3,2
18de3be9-64cb-456e-821f-b89407f38ae9,2025-08-14 13:22:02.048516+00:00,anthropic,claude-3-7-sonnet-20250219,0,3590,227,nat,6,5,7,4,2,1,3
60d887ee-bafc-4a29-8fcb-c6f31a699d56,2025-08-14 13:22:11.981525+00:00,anthropic,claude-3-7-sonnet-20250219,0,3590,226,nat,3,7,6,5,4,2,1
d0fcd008-5cf9-4fce-a9b5-2ec2d4d31d44,2025-08-14 13:22:22.121014+00:00,anthropic,claude-3-7-sonnet-20250219,0,3590,226,nat,7,3,6,5,1,2,4
e08a81e8-9c09-4997-a2a7-abb8d2c4c15c,2025-08-14 13:30:39.313192+00:00,anthropic,claude-3-7-sonnet-20250219,0,3602,225,ana,6,7,2,5,4,1,3
675f00f9-23bd-4599-b613-c949782dc413,2025-08-14 13:30:51.885277+00:00,anthropic,claude-3-7-sonnet-20250219,0,3602,229,ana,7,6,1,5,4,2,3
414f6dcf-9315-4a0d-be99-051dbe977209,2025-08-14 13:30:59.966644+00:00,anthropic,claude-3-7-sonnet-20250219,0,3602,226,ana,7,6,4,5,2,1,3
586f52ac-4c8a-44eb-a57f-f7ce049187ed,2025-08-14 13:31:11.434702+00:00,anthropic,claude-3-7-sonnet-20250219,0,3602,226,ana,7,6,1,4,5,2,3
f2c9b5da-7d35-40eb-b922-0d265835099f,2025-08-14 13:31:22.090575+00:00,anthropic,claude-3-7-sonnet-20250219,0,3602,228,ana,6,7,1,5,3,2,4
