cuid,created_at,provider,model,temperature,input_tokens,output_tokens,prompt_uid,C1. There is not enough information to definitively say that climate change is real.,C2. The response to  climate change is not going to be positive.  The same mistakes will keep happening.,"C3. Climate variation is normal, so why should this be a problem?",C4. More educational programmes are needed to increase public awareness about climate change.,C5. Climate change will not be a problem because there will be technological solutions available.,C6. I don't trust what scientists say about climate change.,C7. I don't trust what I hear about climate change from government.,C8. We need strong political leadership to do something about climate change.,C9. I think it is safe to say climate change is here.,C10. I'm not going to do anything to address climate change because it is not a major issue.,C11. There's not much point in me doing anything to fix this. No-one else is going to.,C12. It's difficult to trust what comes out in the media on the issue of climate change.,"C13. It is already too late to do anything, as any action to stop climate change will take a long time to take effect.","C14. I'm not concerned enough to do anything drastic about this, such as participate in political action.",C15. It is unfair that we are going to leave the climate in a mess for future generations.,C16. We should pay for greenhouse emissions.,C17. We can adapt to the coming changes.,C18. It is clear that we are already entering the zone of dangerous climate change.,C19. I care about the planet.,"C20. I don't know what to do. I'm very concerned and would like to do something, but I don't have a realistic shortlist of things that would really make a difference.",C21. Australia does not owe it to the rest of the world to reduce emissions and suffer economically.,C22. If Australia reduces greenhouse gases it won't make a difference. That will just shift Australian jobs to other countries. ,C23. This is so depressing and is so out of our control.,"C24. I believe that the difference we can have as an individual, in Australia, is so minimal that our actions are worthless.","C25. Australia is particularly vulnerable to climate change, and it is in our interest to help find an effective global solution.",C26. We need laws addressing climate change because people are not going to volunteer to change.,"C27. I want to do something, but it is too big and too hard.","C28. When I read in the paper that climate change is not true, I start to have doubts about whether it is changing.",C29. Doing something to reduce emissions feels a bit hopeless but I just want to feel that I'm doing the most I can.,C30. The fate of the planet is too important to be left to market forces.,"C31. Australia's emissions are tiny, so it's not up to us to act.",C32. Governments should take a far greater role in preparing towns and cities to adapt to the impacts of climate change.,C33. Failure to address climate change is the fault of political leaders.
c38ead6a-f066-4969-846d-1c0d22ab52de,2025-08-18 14:04:28.747412+00:00,google,gemini-2.5-flash,0,3657,251,con,10,9,10,3,10,10,11,2,7,10,9,11,8,10,8,1,10,1,10,4,11,11,4,9,5,2,7,9,6,1,11,7,3
98d57f06-00b7-4cf5-ad33-75ea61273066,2025-08-18 14:05:14.733692+00:00,google,gemini-2.5-flash,0,3651,249,con,8,8,10,3,10,9,10,2,7,8,9,10,7,10,6,2,10,1,10,3,11,11,4,8,5,2,4,9,4,1,11,9,5
04d947cf-6c5a-4789-a9e4-27df331b0c04,2025-08-18 14:05:58.831265+00:00,google,gemini-2.5-flash,0,3649,249,con,9,8,10,3,10,9,9,7,6,9,8,10,8,10,4,2,10,1,10,5,11,10,7,9,4,2,7,9,5,1,10,9,3
768607f2-4cd4-41c1-95b7-cd0e58ba6669,2025-08-18 14:06:39.481669+00:00,google,gemini-2.5-flash,0,3645,247,con,9,8,10,3,10,9,10,3,6,9,7,10,7,9,3,2,10,1,9,4,11,11,5,8,7,2,6,8,6,2,9,7,3
5dfb7286-bb19-4e4c-b52f-f01ef9b77a4d,2025-08-18 14:07:30.054931+00:00,google,gemini-2.5-flash,0,3647,247,con,5,8,9,5,10,6,9,8,8,4,2,10,6,9,10,4,10,2,11,7,10,10,3,4,9,3,3,7,7,2,10,9,7
fffee218-283a-40b4-9d13-9ad946c294cf,2025-08-18 14:38:57.893239+00:00,google,gemini-2.5-flash,0,3683,255,csk,11,9,11,1,10,11,11,1,1,11,11,11,2,11,1,1,8,1,7,1,11,11,1,11,1,1,1,11,1,1,11,3,1
fd52d4ca-4773-4bc6-8bd2-8a6ba1ee1092,2025-08-18 14:39:29.187773+00:00,google,gemini-2.5-flash,0,3685,256,csk,11,9,11,1,10,11,11,1,1,11,10,11,1,11,1,1,10,1,2,1,11,11,1,10,1,1,1,11,1,1,11,8,1
1f6a6c6d-f19c-4173-834b-08a7c1163a6a,2025-08-18 14:39:55.719373+00:00,google,gemini-2.5-flash,0,3681,250,csk,10,8,11,1,9,11,11,1,1,11,7,11,3,10,1,1,10,1,8,1,11,11,1,10,1,1,1,10,1,1,11,2,2
eab69ed6-102c-4dd3-899c-3e635c658f94,2025-08-18 14:40:40.839090+00:00,google,gemini-2.5-flash,0,3685,254,csk,11,10,11,1,9,11,11,1,1,11,10,11,8,11,1,1,10,1,7,1,11,11,1,10,1,1,1,11,1,1,11,9,1
3de00533-83dc-48d5-96a8-c821441b9a93,2025-08-18 14:41:12.844189+00:00,google,gemini-2.5-flash,0,3687,256,csk,11,10,11,1,10,11,11,1,1,11,10,11,1,11,1,1,10,1,7,1,11,11,1,10,1,1,1,11,1,1,11,2,1
