cuid,created_at,provider,model,temperature,input_tokens,output_tokens,prompt_uid,P1. Wind,P2. Biomass,P3. Coal with CO2 Burial,P4. Hydroelectric,P5. Natural Gas,P6. Geothermal Energy,P7. Solar Energy,P8. Nuclear Energy,P9. Coal
3251a764-9ef5-437f-8089-3e040645c9ad,2025-08-18 14:27:35.328053+00:00,google,gemini-2.5-flash,0,5078,340,con,9,6,4,5,2,7,8,3,1
eb56fa48-4df5-4425-b93b-d65db1bd3543,2025-08-18 14:28:33.898086+00:00,google,gemini-2.5-flash,0,5084,341,con,8,6,4,5,3,9,7,2,1
0830c610-fade-442e-9e1c-8d019bdeae36,2025-08-18 14:29:26.599366+00:00,google,gemini-2.5-flash,0,5084,340,con,8,7,4,5,2,6,9,3,1
0b97c418-c03b-46e5-aa85-63641f81f680,2025-08-18 14:30:25.555014+00:00,google,gemini-2.5-flash,0,5084,342,con,9,6,4,5,2,7,8,3,1
a92b2e9e-a71a-4dd3-9e3f-cc2df64ae848,2025-08-18 14:31:24.190932+00:00,google,gemini-2.5-flash,0,5082,341,con,8,6,4,5,2,7,9,3,1
51f8e38b-651a-4a7c-acbf-374efd68bbb9,2025-08-18 14:59:42.260007+00:00,google,gemini-2.5-flash,0,5100,336,csk,9,6,5,4,2,7,8,3,1
b5342aba-47f3-422b-9691-44b817367ad4,2025-08-18 15:00:27.028919+00:00,google,gemini-2.5-flash,0,5106,339,csk,8,6,4,5,2,7,9,3,1
175ef626-5e24-466f-b932-40e1576f3d0e,2025-08-18 15:01:31.491531+00:00,google,gemini-2.5-flash,0,5106,337,csk,7,9,1,5,4,6,8,2,3
566efcd8-c9ab-4978-b716-80952a05ba37,2025-08-18 15:02:16.775182+00:00,google,gemini-2.5-flash,0,5104,335,csk,9,8,4,5,2,6,7,3,1
0bdeebda-9230-4d7e-80b3-81f476048f43,2025-08-18 15:03:00.676772+00:00,google,gemini-2.5-flash,0,5104,337,csk,8,6,4,5,2,7,9,3,1
c9ef28d7-30f6-4d51-aac9-b1528d037cad,2025-08-18 15:37:09.123525+00:00,google,gemini-2.5-flash,0,5061,332,ana,3,5,7,4,6,1,2,8,9
4d4ebe13-f9d5-4b56-90e5-af914af98cdc,2025-08-18 15:37:54.031508+00:00,google,gemini-2.5-flash,0,5061,333,ana,1,5,7,4,6,3,2,9,8
7898015f-67c2-426b-a113-b2f3c0aa8c9f,2025-08-18 15:38:43.588337+00:00,google,gemini-2.5-flash,0,5065,331,ana,3,6,9,4,5,1,2,8,7
bbcf4c9b-6462-4542-8dc4-63781450604d,2025-08-18 15:39:36.014545+00:00,google,gemini-2.5-flash,0,5069,342,ana,2,5,7,4,6,3,1,8,9
72afa84c-9ccb-402f-8c16-550890b04471,2025-08-18 15:40:38.763751+00:00,google,gemini-2.5-flash,0,5069,338,ana,2,5,7,4,6,3,1,8,9
0c018ec4-7edc-488c-8e50-ba26c3f07a6d,2025-08-18 16:10:12.942590+00:00,google,gemini-2.5-flash,0,5071,335,eco,2,6,7,4,8,3,1,5,9
38ad5bcb-a462-46b6-8f2a-c6a3eb975060,2025-08-18 16:10:52.391857+00:00,google,gemini-2.5-flash,0,5071,336,eco,1,5,6,4,7,3,2,8,9
c88c333e-51c6-4cd2-8a6e-f35e3b021e9b,2025-08-18 16:11:36.912168+00:00,google,gemini-2.5-flash,0,5073,334,eco,3,6,7,4,8,1,2,5,9
9fee5ecd-1528-4004-b766-215e0aa519d3,2025-08-18 16:12:30.899143+00:00,google,gemini-2.5-flash,0,5075,336,eco,1,5,8,4,7,3,2,6,9
72b8f10b-2ce3-44c7-9171-3c05f70e6259,2025-08-18 16:13:10.518596+00:00,google,gemini-2.5-flash,0,5073,338,eco,2,5,7,1,8,3,4,6,9
6839990f-3144-4e96-89e4-d5a10deb8b2a,2025-08-18 16:46:10.328634+00:00,google,gemini-2.5-flash,0,5074,335,fas,4,9,6,8,1,3,7,5,2
7f5ff236-2e6e-4098-8961-725dc0470fb9,2025-08-18 16:47:07.345203+00:00,google,gemini-2.5-flash,0,5080,338,fas,7,5,4,6,3,9,8,1,2
3861f324-7840-4664-b9f5-3af5ee7b87ce,2025-08-18 16:47:53.865427+00:00,google,gemini-2.5-flash,0,5072,336,fas,8,7,6,4,5,3,9,1,2
1a1f926a-09c2-4517-9bcf-dbcbd7b1db82,2025-08-18 16:48:46.672645+00:00,google,gemini-2.5-flash,0,5086,342,fas,1,7,5,6,3,4,8,9,2
be415bf5-b66a-4c0f-9f76-f1a01c8772ad,2025-08-18 16:49:47.389996+00:00,google,gemini-2.5-flash,0,5088,345,fas,8,7,3,6,5,4,9,1,2
2727011a-235f-4cee-bb1b-17b7483e2de4,2025-08-18 17:21:43.318366+00:00,google,gemini-2.5-flash,0,5064,335,fem,2,6,8,4,7,3,1,5,9
ce9bed39-ccb4-476e-b582-78b0c44c3ea1,2025-08-18 17:22:35.198844+00:00,google,gemini-2.5-flash,0,5070,336,fem,1,5,7,4,6,2,3,8,9
2d135658-235c-4c75-b54e-7f8baee67836,2025-08-18 17:23:26.992406+00:00,google,gemini-2.5-flash,0,5066,338,fem,2,5,7,4,8,3,1,6,9
8976c86d-66b8-4e1b-9db4-ce20e777ab5c,2025-08-18 17:24:14.938936+00:00,google,gemini-2.5-flash,0,5068,336,fem,1,5,8,4,6,3,2,7,9
b3751ee0-fefb-4647-9513-de835aa8971a,2025-08-18 17:24:59.596400+00:00,google,gemini-2.5-flash,0,5074,337,fem,2,5,7,4,6,3,1,8,9
8e34974f-22e9-4842-a0af-faf28e1e7a84,2025-08-18 17:56:23.532090+00:00,google,gemini-2.5-flash,0,5081,338,fun,8,5,6,4,2,7,9,3,1
a8ca1701-7d1f-4425-89fe-3573dda3862b,2025-08-18 17:57:11.187829+00:00,google,gemini-2.5-flash,0,5087,343,fun,8,6,5,4,2,7,9,3,1
a20b4f96-89d1-4895-8c23-30413d654aac,2025-08-18 17:58:08.315399+00:00,google,gemini-2.5-flash,0,5087,342,fun,7,6,5,4,2,9,8,3,1
38c06e5a-64bf-4636-9b69-dd92f86debaa,2025-08-18 17:58:56.400221+00:00,google,gemini-2.5-flash,0,5083,341,fun,1,5,9,3,2,6,8,4,7
c629a664-a721-4fd9-a922-1556a237e19b,2025-08-18 17:59:41.102125+00:00,google,gemini-2.5-flash,0,5083,337,fun,8,7,5,1,2,6,4,3,9
eef85552-d51d-4c4f-bc3a-f41dde603fa3,2025-08-18 18:32:01.628117+00:00,google,gemini-2.5-flash,0,5062,330,lib,3,6,1,2,4,9,5,7,8
5cdc1990-9142-48a7-aa9d-25c227237e73,2025-08-18 18:33:10.633064+00:00,google,gemini-2.5-flash,0,5070,335,lib,7,8,5,2,4,3,6,1,9
1a7c262d-8bb9-4799-963a-a9900da3a6a8,2025-08-18 18:34:16.089306+00:00,google,gemini-2.5-flash,0,5068,328,lib,2,6,8,4,7,5,1,3,9
945c2a3c-3b7e-46b0-b185-1607652481c8,2025-08-18 18:35:18.643488+00:00,google,gemini-2.5-flash,0,5068,332,lib,5,6,8,4,7,3,2,1,9
87ad4e6f-a4b7-4db4-8f89-a194d690c132,2025-08-18 18:36:26.793658+00:00,google,gemini-2.5-flash,0,5066,330,lib,2,7,5,1,6,4,8,3,9
8138c5a0-99a8-4f23-a80d-bc82cf55eb90,2025-08-18 19:07:31.624912+00:00,google,gemini-2.5-flash,0,5086,341,nat,4,2,6,8,9,3,5,7,1
b8605164-91fd-4e04-b11b-e2b3b4269eb8,2025-08-18 19:08:24.211405+00:00,google,gemini-2.5-flash,0,5088,340,nat,7,6,2,4,3,8,9,1,5
6b2fd2ba-bed7-49ec-a370-84587058b459,2025-08-18 19:09:17.814075+00:00,google,gemini-2.5-flash,0,5082,339,nat,8,6,1,5,4,3,9,2,7
a9b29bfb-7efc-4ff3-8292-fa531bdd7424,2025-08-18 19:10:25.003033+00:00,google,gemini-2.5-flash,0,5098,348,nat,1,7,6,5,3,4,8,2,9
010915e1-48e6-486c-9ae0-0e88fd27d0fe,2025-08-18 19:11:35.595583+00:00,google,gemini-2.5-flash,0,5084,335,nat,9,7,4,8,2,6,5,3,1
fe8654b5-6528-4708-914a-982437a6b852,2025-08-18 19:39:56.107509+00:00,google,gemini-2.5-flash,0,5081,336,pop,9,6,4,2,1,7,8,5,3
976db913-b6ae-4508-be8e-84d989552c4e,2025-08-18 19:40:48.057018+00:00,google,gemini-2.5-flash,0,5091,346,pop,1,6,7,5,2,8,9,4,3
2619658b-eb92-41f1-be4b-dfd49e7f9e0c,2025-08-18 19:41:45.218902+00:00,google,gemini-2.5-flash,0,5091,344,pop,8,6,7,5,3,4,9,2,1
1cb1d105-6cbb-4450-9724-5299b417e420,2025-08-18 19:42:35.554632+00:00,google,gemini-2.5-flash,0,5091,342,pop,9,3,7,6,2,4,8,5,1
cb7819b8-9522-4567-9292-9c62c997c05a,2025-08-18 19:43:27.358157+00:00,google,gemini-2.5-flash,0,5093,343,pop,8,5,7,4,2,3,9,6,1
beebbe77-1a7b-4da1-b513-bfb39658b84b,2025-08-18 20:12:44.703618+00:00,google,gemini-2.5-flash,0,5070,335,soc,2,6,7,4,8,3,1,5,9
339d4c21-4cec-418e-bc64-618d09fc356d,2025-08-18 20:13:28.249042+00:00,google,gemini-2.5-flash,0,5076,341,soc,1,5,2,4,7,8,3,6,9
0f82a322-39e3-4b5c-a3b2-0aa0a8a5e984,2025-08-18 20:14:19.643159+00:00,google,gemini-2.5-flash,0,5072,332,soc,3,5,9,4,7,1,2,6,8
80eed851-43e3-4681-af43-e0b3bf55ee40,2025-08-18 20:15:11.692806+00:00,google,gemini-2.5-flash,0,5072,340,soc,1,5,8,4,7,3,2,6,9
c36e8ea9-daf2-446e-8a90-e307f585f9bc,2025-08-18 20:16:02.401678+00:00,google,gemini-2.5-flash,0,5070,333,soc,2,5,8,1,7,3,4,6,9
13c95dc3-3a19-4771-807e-7d0ee05366c7,2025-08-18 20:46:39.860127+00:00,google,gemini-2.5-flash,0,5111,339,coa,4,6,7,5,8,1,3,2,9
22e9f0c8-0ba1-4ca1-af3a-655ffc425a63,2025-08-18 20:53:56.586928+00:00,google,gemini-2.5-flash,0,5105,339,coa,2,6,7,4,8,3,1,5,9
7ee899a5-95d8-4a2a-96a0-2dc4ddbf05a4,2025-08-18 21:21:09.177883+00:00,google,gemini-2.5-flash,0,5094,346,ctr,3,6,7,5,8,2,4,1,9
2be774b7-aa9d-4d25-923e-41e3c112a642,2025-08-18 21:21:54.412460+00:00,google,gemini-2.5-flash,0,5100,342,ctr,1,6,8,5,7,3,2,4,9
37bff564-7de8-454a-91dd-2cf7b9ed5e2d,2025-08-18 21:22:39.472685+00:00,google,gemini-2.5-flash,0,5090,339,ctr,3,6,7,5,8,1,2,4,9
c28d35e8-545c-49d0-a72c-f7992249b0d7,2025-08-18 21:23:21.355109+00:00,google,gemini-2.5-flash,0,5098,344,ctr,1,6,8,4,3,7,2,5,9
aa6aaa28-f7b1-4697-aa6b-b963bd1e3d06,2025-08-18 21:24:12.350062+00:00,google,gemini-2.5-flash,0,5092,338,ctr,1,6,7,4,8,3,2,5,9
836fc8f6-0ff3-4faf-80cc-4b47764678e9,2025-08-18 21:52:24.334946+00:00,google,gemini-2.5-flash,0,5110,343,dis,4,6,8,5,7,2,3,1,9
409bea34-9599-46de-90a5-13dc7b68cbdc,2025-08-18 21:53:08.002147+00:00,google,gemini-2.5-flash,0,5106,335,dis,4,6,7,5,8,2,3,1,9
466b5784-6779-4451-b742-7080fd5030a2,2025-08-18 21:53:58.919113+00:00,google,gemini-2.5-flash,0,5110,337,dis,3,6,1,4,8,7,2,5,9
92b3b735-1599-4012-bef9-57b69e8ebb46,2025-08-18 21:54:41.210094+00:00,google,gemini-2.5-flash,0,5110,339,dis,3,6,8,4,7,1,2,5,9
7c3d855d-54c7-4298-a4f5-c137e4cebca8,2025-08-18 21:55:16.651552+00:00,google,gemini-2.5-flash,0,5106,338,dis,3,6,8,1,7,2,4,5,9
40ea6969-8f62-40a1-bce8-2c8a6cf07892,2025-08-18 22:21:30.670753+00:00,google,gemini-2.5-flash,0,5095,339,eld,3,6,8,4,7,1,2,5,9
bdb53e38-ec4a-4f77-8360-f2f6a35a10bb,2025-08-18 22:22:11.194911+00:00,google,gemini-2.5-flash,0,5095,339,eld,1,6,8,5,7,3,2,4,9
8e7fe336-811c-412c-9f86-f291f9cfcaa3,2025-08-18 22:23:03.039205+00:00,google,gemini-2.5-flash,0,5099,339,eld,4,6,7,3,8,1,5,2,9
6202df51-dc7b-4238-a865-40db526d367a,2025-08-18 22:24:35.676810+00:00,google,gemini-2.5-flash,0,5099,340,eld,6,4,8,3,5,1,7,2,9
93fcc98c-0617-43ba-92c3-1d5523f1e7d2,2025-08-18 22:53:02.708148+00:00,google,gemini-2.5-flash,0,5100,337,far,3,6,7,5,8,1,2,4,9
71b931a8-75af-42e5-a016-500f89de180b,2025-08-18 22:53:44.969997+00:00,google,gemini-2.5-flash,0,5100,339,far,1,6,8,4,7,3,2,5,9
4555914c-8bb4-43a6-9310-2cb0a292b1cd,2025-08-18 22:54:31.912453+00:00,google,gemini-2.5-flash,0,5098,343,far,3,6,9,4,7,1,2,5,8
d0e1b4ef-1444-4065-9a96-8cc03f061b02,2025-08-18 22:55:16.306932+00:00,google,gemini-2.5-flash,0,5096,337,far,1,6,8,3,7,4,2,5,9
f1b5df04-69d7-4b81-9c55-df21249955a3,2025-08-18 22:55:53.935797+00:00,google,gemini-2.5-flash,0,5094,337,far,2,7,6,1,8,3,4,5,9
cee67680-1a44-4255-9c25-df692cb676db,2025-08-18 23:27:47.700562+00:00,google,gemini-2.5-flash,0,5099,342,fis,3,6,8,4,7,1,2,5,9
3937daa1-7cb2-4cf1-9972-b6dcd1475c4b,2025-08-18 23:28:30.159300+00:00,google,gemini-2.5-flash,0,5095,335,fis,2,6,7,5,8,1,3,4,9
8c466215-4562-45a3-88eb-079e4c5ee234,2025-08-18 23:29:05.728684+00:00,google,gemini-2.5-flash,0,5101,339,fis,1,4,8,6,3,7,5,2,9
3d0d875f-2adf-4496-a923-8dfeab2fe99b,2025-08-18 23:29:51.811422+00:00,google,gemini-2.5-flash,0,5097,337,fis,2,6,8,5,7,3,1,4,9
343927bc-d432-4f85-9367-7d02eb33af23,2025-08-19 00:00:04.728543+00:00,google,gemini-2.5-flash,0,5102,340,lan,5,6,9,4,7,1,3,2,8
2e274d13-aa9d-436c-b9b3-d15793fe3a71,2025-08-19 00:00:52.650899+00:00,google,gemini-2.5-flash,0,5106,340,lan,1,2,8,5,7,4,3,6,9
de128098-620b-45cf-abe6-a0a52636ea4c,2025-08-19 00:01:51.840036+00:00,google,gemini-2.5-flash,0,5104,340,lan,6,2,1,4,8,7,5,3,9
299752ff-4ff1-4363-b1f2-0c6a05e2b029,2025-08-19 00:02:44.267894+00:00,google,gemini-2.5-flash,0,5106,343,lan,1,7,8,3,6,5,4,2,9
d4279db0-190e-4f13-920f-1a268943326f,2025-08-19 00:03:40.077819+00:00,google,gemini-2.5-flash,0,5108,349,lan,5,6,8,3,7,1,4,2,9
c9b641b9-fd29-4c4a-8c9d-ae0b146330aa,2025-08-19 00:33:25.435166+00:00,google,gemini-2.5-flash,0,5113,338,par,3,6,8,4,7,2,1,5,9
7de7098a-1ab1-4236-832c-670e9ee49c05,2025-08-19 00:34:03.402466+00:00,google,gemini-2.5-flash,0,5115,342,par,1,7,2,5,4,9,3,6,8
7f0f4c8d-b1a3-4528-8259-4940068aa085,2025-08-19 00:34:51.632876+00:00,google,gemini-2.5-flash,0,5113,343,par,3,6,7,4,8,1,2,5,9
bbd2f609-e449-4ab0-b1b2-aeb118fbd804,2025-08-19 00:35:37.302351+00:00,google,gemini-2.5-flash,0,5109,338,par,1,5,8,4,7,6,3,2,9
ca6857be-e6d6-4a00-89fe-b1dce2e6380e,2025-08-19 00:36:27.452503+00:00,google,gemini-2.5-flash,0,5115,340,par,2,5,7,1,8,3,4,6,9
9ddce26f-a3fb-4328-8f0e-188058b882ca,2025-08-19 01:04:45.322558+00:00,google,gemini-2.5-flash,0,5087,341,sub,3,7,1,4,8,6,2,5,9
04e14936-ab9e-4649-b5e8-e4a9aa827158,2025-08-19 01:05:47.558085+00:00,google,gemini-2.5-flash,0,5091,339,sub,1,5,8,4,7,3,2,6,9
57b21d87-b274-4fed-96d5-e37a0c9d4f5e,2025-08-19 01:06:35.600898+00:00,google,gemini-2.5-flash,0,5099,343,sub,3,5,1,4,7,8,2,6,9
88cb18a8-bcf8-4eae-b48f-1f78db1329d9,2025-08-19 01:07:25.247408+00:00,google,gemini-2.5-flash,0,5093,338,sub,4,6,8,2,7,1,3,5,9
203f5969-11f5-45bd-a5df-59f4fbb90c7e,2025-08-19 01:08:09.590816+00:00,google,gemini-2.5-flash,0,5083,334,sub,4,8,5,1,7,2,3,6,9
