cuid,created_at,provider,model,temperature,input_tokens,output_tokens,prompt_uid,"C1. Public funds should pay for biobanks, instead of private companies.  ",C2. The community that donates samples for research should receive improved medical services.  ,C3. All participants should be paid for donating their samples to a biobank. ,C4. Genetic information is different from health information. ,C5. The confidentiality of personal medical information is critical in any circumstance where research is being conducted.,C6. High-priced genetic research is diverting funds that could be used to promote public health.,C7. Race is a useful topic for genetic studies.,C8. Sampling some people in an ethnocultural community is acceptable only if the whole ethnocultural community has agreed to participate.,"C9. To me, religious communities need to be consulted about genetic and biobank research. ",C10. Genetic studies of disability will lead to the discrimination of people living with the same conditions.,C11. Genetic studies of race on enthocultural communities will lead to the discrimination of those same enthocultural communities. ,C12. The priority for healthcare should be to reduce inequalities and the burden of disease.,C13. Biobanks are useful even if they only produce more scientific knowledge and not medical advancements.,C14. It is always permissible to do research on my personally identifiable sample without my prior permission.  ,C15. There is no point in consulting the public about ethical issues in science and technology.,C16. Genetic research will improve our lives.,C17. Deciding how to regulate biobanks should be left to the government. ,C18. There is no risk to the participants who donate to biobanks.,C19. Policy makers should consider the possibility that Canada should not pursue biobanking.,C20. My personal sample should never be anonymized since I should be informed of important research results.  ,C21. Researchers should be allowed to use samples for research but they should not own them.  ,C22. Participants should be contacted every time researchers want to use their samples for research.,C23. Aboriginal communities require special consideration concerning healthcare and research.,C24. Educating people about health issues (e.g. diet and lifestyle changes) promises greater health effects than investing in biobanks.,"C25. If someone is a carrier of a genetic disease, they have a responsibility to participate in genetic research.",C26. Participants should always be able to withdraw their sample from research at anytime. ,C27. I should have property rights to my tissues before or after they leave my body.,C28. Participants who donate their samples for research should be given special access to the treatments and therapies that result from that research. ,C29. Permission from the indigenous community must be sought if samples are collected from indigenous peoples.,C30. Participants should be active in the set up and oversight of  biobanks. ,C31. Biobanks will only lead to expensive treatments and high profits. ,"C32. Scientists should have access to all unidentified, personal samples for research.",C33. Biobanks need independent review boards to determine who should have access to samples. ,C34. I trust researchers to control access to my personal samples.,C35. Everyone should donate samples to a biobank for the benefit of everyone. ,C36. I do not care if my donated sample is connected to my name and medical information.,C37. The fact that we cannot predict what biobanks will be used for bothers me. ,C38. Profits from biobanking should be returned to the donating community. 
5b667265-3ec1-4c9d-9a70-1ed0db9aa835,2025-09-09 18:54:19.389925+00:00,openai,gpt-4o-mini,0,3735,238,ana,11,11,11,1,11,11,1,11,11,11,11,11,11,1,1,11,1,1,11,1,11,11,11,11,1,11,11,11,11,11,11,1,1,1,1,1,11,11
eceb5980-cbd1-452f-86a7-176aa5d5b94e,2025-09-09 18:54:25.477299+00:00,openai,gpt-4o-mini,0,3735,237,ana,11,11,11,1,11,11,1,11,11,11,11,11,1,1,1,11,1,1,11,1,11,1,11,11,1,11,11,11,11,11,11,1,1,1,1,1,11,11
9c56bd6f-37db-413b-84c1-79405dc85bcb,2025-09-09 18:54:33.793452+00:00,openai,gpt-4o-mini,0,3735,237,ana,11,11,11,1,11,11,1,11,1,11,11,11,6,1,1,6,1,1,11,1,11,11,11,11,1,11,11,11,11,11,11,1,1,1,1,1,11,11
c7214707-ab5c-4e9a-9ad3-0b37ab1cb053,2025-09-09 18:54:40.040196+00:00,openai,gpt-4o-mini,0,3735,237,ana,11,11,11,1,11,11,1,11,11,11,11,11,1,1,1,8,1,1,11,11,11,11,11,11,1,11,11,11,11,11,11,1,1,1,1,1,11,11
a4f6c2d9-1268-4057-ab16-7ae2e91499c4,2025-09-09 18:54:45.773775+00:00,openai,gpt-4o-mini,0,3735,237,ana,11,11,11,6,11,11,1,11,1,11,11,11,6,1,1,3,1,1,1,1,6,11,11,11,1,11,11,11,11,11,11,1,1,1,1,1,11,11
af8298c6-676f-4db7-be9e-0ea032fd9fc4,2025-09-09 19:01:17.671958+00:00,openai,gpt-4o-mini,0,3738,237,con,4,7,2,6,11,4,4,7,10,2,2,5,6,1,1,9,10,1,5,1,7,2,9,11,2,8,4,6,10,3,6,3,8,3,3,2,9,5
e2ad8c28-6f9c-43d7-95c4-2559af7064f5,2025-09-09 19:01:28.106201+00:00,openai,gpt-4o-mini,0,3738,237,con,3,8,1,6,11,3,5,9,10,8,8,4,6,1,2,10,10,1,6,2,6,2,9,11,5,5,3,4,8,7,7,2,9,3,4,2,9,7
272f39a2-5d1b-403c-9065-712208e9a19f,2025-09-09 19:01:35.877768+00:00,openai,gpt-4o-mini,0,3738,237,con,2,10,1,9,11,2,6,10,10,2,2,2,7,1,1,10,9,1,9,3,6,4,7,6,3,7,8,5,11,5,4,1,8,4,3,1,8,3
fa87bb59-25de-4bef-aade-5fc0dcf0c35e,2025-09-09 19:01:42.884335+00:00,openai,gpt-4o-mini,0,3738,237,con,4,8,1,6,11,6,5,9,10,2,2,4,6,1,2,8,3,1,5,2,7,3,7,9,2,6,10,4,9,5,7,3,8,4,2,2,9,5
3ddadc40-8c16-4c87-a4d0-822e70277587,2025-09-09 19:01:49.406806+00:00,openai,gpt-4o-mini,0,3738,238,con,5,7,2,7,11,3,4,10,10,8,8,4,6,1,1,10,9,2,7,1,6,2,10,11,5,9,11,3,10,5,6,2,9,4,1,1,10,3
9ff6b1bb-30d6-4ccf-8c79-cc3f52fb04db,2025-09-09 19:08:10.451173+00:00,openai,gpt-4o-mini,0,3732,237,eco,11,11,6,7,11,10,4,11,10,11,11,11,7,1,2,10,8,2,9,2,11,5,11,11,3,11,10,10,11,11,10,3,11,4,5,1,9,11
ccd9a1f6-fff5-4cf3-af66-8d344e5ebdb1,2025-09-09 19:08:16.501142+00:00,openai,gpt-4o-mini,0,3732,236,eco,11,11,5,5,11,3,2,11,8,11,11,11,7,1,1,10,6,1,9,1,10,4,11,11,2,11,10,9,11,11,10,1,11,2,6,1,9,11
c4df64fd-c3ba-4d78-8c28-b389cb2f9f73,2025-09-09 19:08:27.375527+00:00,openai,gpt-4o-mini,0,3732,237,eco,11,11,8,6,11,11,3,11,7,10,10,11,8,1,1,9,9,1,9,1,10,10,11,11,4,11,10,10,11,11,10,1,11,2,8,1,10,11
87d1a420-6967-4a87-b0aa-66f480fc384a,2025-09-09 19:08:35.334845+00:00,openai,gpt-4o-mini,0,3732,239,eco,11,11,5,2,11,10,2,11,10,11,11,11,6,1,1,10,11,1,11,1,11,1,11,10,1,11,11,9,11,11,8,1,11,1,1,1,10,11
c1275a15-8316-4274-8247-5db8f6394c71,2025-09-09 19:08:41.722382+00:00,openai,gpt-4o-mini,0,3732,237,eco,11,11,7,6,11,10,3,11,9,11,11,11,9,1,1,8,8,1,10,2,10,10,11,11,4,11,9,10,11,11,10,1,11,2,11,2,10,11
